Category,Precision,Recall,Accuracy,Total_mean,Model,Version
3,0.4734,0.1763,0.6951,0.4869,nb-whisper-medium,v1
3,0.4328,0.1698,0.6853,0.4789,nb-whisper-medium-verbatim,v1
3,0.4328,0.1698,0.6853,0.4789,nb-whisper-medium-verbatim,v2
3,0.4076,0.1805,0.6765,0.4754,nb-whisper-base,v1
3,0.3894,0.2057,0.6661,0.4633,nb-whisper-base-verbatim,v1
3,0.3894,0.2057,0.6661,0.4633,nb-whisper-base-verbatim,v2
3,0.3718,0.1853,0.6629,0.4591,nb-whisper-tiny,v1
3,0.3455,0.1968,0.6486,0.4549,nb-whisper-tiny-verbatim,v2
3,0.3455,0.1968,0.6486,0.4549,nb-whisper-tiny-verbatim,v1
3,0.3335,0.2136,0.6374,0.4293,medium,v1
3,0.2999,0.2234,0.6121,0.4032,base,v1
3,0.2979,0.2262,0.6094,0.39,tiny,v1
