Category,Precision,Recall,Accuracy,Total_mean,Model,Version
1,0.0902,0.6284,0.8932,0.4869,nb-whisper-medium,v1
1,0.0865,0.6623,0.8812,0.4789,nb-whisper-medium-verbatim,v1
1,0.0865,0.6623,0.8812,0.4789,nb-whisper-medium-verbatim,v2
1,0.0781,0.7007,0.8644,0.4754,nb-whisper-base,v1
1,0.0641,0.6809,0.8432,0.4633,nb-whisper-base-verbatim,v2
1,0.0641,0.6809,0.8432,0.4633,nb-whisper-base-verbatim,v1
1,0.0634,0.7237,0.821,0.4591,nb-whisper-tiny,v1
1,0.0638,0.7566,0.8149,0.4549,nb-whisper-tiny-verbatim,v2
1,0.0638,0.7566,0.8149,0.4549,nb-whisper-tiny-verbatim,v1
1,0.0521,0.6447,0.803,0.4293,medium,v1
1,0.0434,0.6954,0.7465,0.4032,base,v1
1,0.039,0.7105,0.7099,0.39,tiny,v1
