File name,Word,Transcribed,CER (Character Error Rate),CER Score
a01_artist.wav,artist, artist,0.0,4
a01_barn.wav,barn, barn,0.0,3
a01_bart.wav,bart, bekk,0.75,4
a01_bjoern.wav,bjørn, mia,1.6666666666666667,3
a01_blaa.wav,blå, blad,0.5,4
a01_blad.wav,blad, det er det,0.9,3
a01_bleie.wav,bleie, det er jeg,0.8,3
a01_blokk.wav,blokk, blakki,0.3333333333333333,3
a01_blomst.wav,blomst, badamps,0.7142857142857143,2
a01_blyant.wav,blyant, blia,0.75,3
a01_boerste.wav,børste, moushte,0.5714285714285714,3
a01_briller.wav,briller, brilit,0.5,2
a01_bro.wav,bro, balo,0.5,3
a01_broed.wav,brød, b,3.0,2
a01_bror.wav,bror, beljou,0.6666666666666666,3
a01_brun.wav,brun, det er igjen,0.8333333333333334,2
a01_bryter.wav,bryter, breikki,0.7142857142857143,2
a01_buss.wav,buss, disse,0.6,5
a01_by.wav,by, meg,1.0,3
a01_bygge.wav,bygge, begge,0.2,2
a01_doer.wav,dør, det,0.6666666666666666,2
a01_drikke.wav,drikke, følge,1.0,2
a01_drops.wav,drops, klaps,0.6,2
a01_drue.wav,drue, lauvø,0.8,2
a01_dykke.wav,dykke, ligge,0.8,4
a01_dyne.wav,dyne, din,0.6666666666666666,3
a01_ekorn.wav,ekorn, ekorn,0.0,5
a01_enhjoerning.wav,enhjørning, irnbjørn inn,0.4166666666666667,4
a01_erter.wav,erter, etter,0.2,3
a01_fjorten.wav,fjorten, høie den,0.75,3
a01_flagg.wav,flagg, dag,1.0,2
a01_flakse.wav,flakse, pøkskj,0.8333333333333334,3
a01_flaske.wav,flaske, flaske,0.0,4
a01_flette.wav,flette, rette,0.4,3
a01_flue.wav,flue, klinje,0.6666666666666666,4
a01_fly.wav,fly, please,0.8333333333333334,2
a01_fort.wav,fort, flott,0.4,4
a01_fortau.wav,fortau, hørt det,0.75,2
a01_fortid.wav,fortid, fortid,0.0,2
a01_frakk.wav,frakk, snakke,0.5,2
a01_fregner.wav,fregner, høie ned,0.625,2
a01_froe.wav,frø, h,3.0,3
a01_frukt.wav,frukt, fysj,1.0,1
a01_fugl.wav,fugl, hid,1.3333333333333333,2
a01_garn.wav,garn, garn,0.0,4
a01_gartner.wav,gartner, kort ned,0.5,2
a01_glad.wav,glad, hvor er jeg,1.0,3
a01_glass.wav,glass, gress,0.4,4
a01_glitter.wav,glitter, gitte,0.4,2
a01_gloer.wav,glør, klie,0.75,2
a01_glorie.wav,glorie, det gjør jeg,0.75,2
a01_graa.wav,grå, coo,1.0,1
a01_grave.wav,grave, ja,2.0,2
a01_gris.wav,gris, og gris,0.42857142857142855,3
a01_groenn.wav,grønn, det,1.6666666666666667,3
a01_gul.wav,gul, glie,0.75,3
a01_gutt.wav,gutt, gitt,0.25,5
a01_hjerne.wav,hjerne, jani,1.0,3
a01_hjerte.wav,hjerte, ja til,0.8333333333333334,4
a01_hjoerne.wav,hjørne, hjørn er,0.25,4
a01_hjort.wav,hjort, gjort,0.2,4
a01_horn.wav,horn, oli,1.0,3
a01_hund.wav,hund, hm,1.5,3
a01_hus.wav,hus, hysj,0.5,5
a01_huske.wav,huske, fiske,0.4,2
a01_hylle.wav,hylle, hilje,0.4,3
a01_hytte.wav,hytte, hitte,0.2,3
a01_internett.wav,internett, ibed,1.75,3
a01_jern.wav,jern, jan,0.6666666666666666,2
a01_jus.wav,jus, else,0.75,3
a01_karneval.wav,karneval, karnel,0.3333333333333333,3
a01_kart.wav,kart, godch,1.0,2
a01_kikkert.wav,kikkert, sikker,0.3333333333333333,2
a01_kjerne.wav,kjerne, kjerne,0.0,3
a01_klappe.wav,klappe, kryppe,0.3333333333333333,3
a01_klem.wav,klem, klie,0.5,4
a01_klo.wav,klo, klo,0.0,5
a01_koe.wav,kø, hva,1.0,5
a01_koffert.wav,koffert, godtes,0.8333333333333334,3
a01_korn.wav,korn, korn,0.0,5
a01_kort.wav,kort, godt,0.5,1
a01_krabbe.wav,krabbe, ktepe,0.8,2
a01_krakk.wav,krakk, kjøkken,0.5714285714285714,3
a01_kran.wav,kran, hva,1.0,3
a01_krone.wav,krone, det gjorde jeg,0.8571428571428571,3
a01_kropp.wav,kropp, kvart,0.8,2
a01_krykke.wav,krykke, kligge,0.6666666666666666,3
a01_ku.wav,ku, ok,1.0,4
a01_kurv.wav,kurv, k,3.0,3
a01_kvart.wav,kvart, kvart,0.0,1
a01_kvern.wav,kvern, kland,0.8,4
a01_loepe.wav,løpe, løpe,0.0,5
a01_loeve.wav,løve, ja,2.0,1
a01_lue.wav,lue, lue,0.0,5
a01_lyn.wav,lyn, lim,0.6666666666666666,4
a01_lys.wav,lys, lis,0.3333333333333333,4
a01_lytte.wav,lytte, lite,0.5,3
a01_munn.wav,munn, njør,1.0,1
a01_mus.wav,mus, nis,0.6666666666666666,3
a01_noekkel.wav,nøkkel, nøkkel,0.0,4
a01_oedelagt.wav,ødelagt, ja til lekk,0.9090909090909091,2
a01_oere.wav,øre, erle,0.5,2
a01_oern.wav,ørn, inn,0.6666666666666666,4
a01_planke.wav,planke, mren tri,0.875,2
a01_plante.wav,plante, plan tre,0.25,3
a01_plaster.wav,plaster, raskti,0.8333333333333334,2
a01_pluss.wav,pluss, frees,0.8,5
a01_plystre.wav,plystre, pilte,0.8,2
a01_port.wav,port, fot,0.6666666666666666,4
a01_premie.wav,premie, jeg tror jeg,0.8333333333333334,2
a01_prins.wav,prins, president,0.5555555555555556,3
a01_pute.wav,pute, pyte,0.25,4
a01_roed.wav,rød, det,1.0,3
a01_rund.wav,rund, bøhlen,1.0,1
a01_sjakk.wav,sjakk, kjekke,0.5,3
a01_sjiraff.wav,sjiraff, skjelja,0.8571428571428571,4
a01_sjoe.wav,sjø, skje,0.5,4
a01_sju.wav,sju, ski,0.6666666666666666,3
a01_ski.wav,ski, ski,0.0,5
a01_skilpadde.wav,skilpadde, sylpeli,0.8571428571428571,2
a01_skinke.wav,skinke, skinke,0.0,3
a01_skip.wav,skip, shringe,0.7142857142857143,2
a01_skitten.wav,skitten, sigden,0.5,4
a01_skive.wav,skive, skive,0.0,4
a01_skjaere.wav,skjære, saue,1.0,2
a01_skjema.wav,skjema, skjema,0.0,3
a01_skjerf.wav,skjerf, seth,1.0,2
a01_skjerm.wav,skjerm, sharl,0.8,3
a01_skjoert.wav,skjørt, chet,1.25,3
a01_skjorte.wav,skjorte, skjorte,0.0,5
a01_skoeyter.wav,skøyter, skjegg,0.8333333333333334,3
a01_skulder.wav,skulder, skulden,0.14285714285714285,3
a01_sky.wav,sky, ski,0.3333333333333333,3
a01_smart.wav,smart, smith,0.6,2
a01_smerte.wav,smerte, smerte,0.0,3
a01_smoer.wav,smør, snø,0.6666666666666666,3
a01_smykke.wav,smykke, sminke,0.3333333333333333,3
a01_snoe.wav,snø, snø,0.0,3
a01_snoerr.wav,snørr, snø,0.6666666666666666,2
a01_soele.wav,søle, kjøre,0.6,3
a01_soelv.wav,sølv, skjerm,0.8333333333333334,3
a01_soeppel.wav,søppel, søppel,0.0,4
a01_soester.wav,søster, kjester,0.42857142857142855,2
a01_soet.wav,søt, kjed,1.0,3
a01_sport.wav,sport, sports,0.16666666666666666,2
a01_start.wav,start, stelt,0.4,3
a01_stjerne.wav,stjerne, stjerne,0.0,3
a01_stoevel.wav,støvel, stavin,0.5,3
a01_stupe.wav,stupe, stype,0.2,5
a01_svart.wav,svart, svart,0.0,4
a01_svoemme.wav,svømme, spennende,0.7777777777777778,4
a01_syk.wav,syk, shi,0.6666666666666666,4
a01_sykkel.wav,sykkel, sykkel,0.0,4
a01_synge.wav,synge, singe,0.2,4
a01_taarn.wav,tårn, køn,1.0,2
a01_terning.wav,terning, kanin,0.8,3
a01_tjern.wav,tjern, sang,1.25,1
a01_torne.wav,torne,thoni,0.6,5
a01_tralle.wav,tralle, krøre,0.8,2
a01_trapp.wav,trapp, klepp,0.6,3
a01_tre.wav,tre, kj-a,1.0,2
a01_troll.wav,troll, u,5.0,2
a01_trylle.wav,trylle, grilje,0.5,3
a01_turn.wav,turn, king,1.0,2
a01_tynn.wav,tynn, fin,1.0,3
a01_ugle.wav,ugle, ytterlig,0.875,4
a01_vindu.wav,vindu, digu,0.75,2
a02_artist.wav,artist, erikst,0.5,2
a02_barn.wav,barn, barn,0.0,4
a02_bart.wav,bart, baj,0.6666666666666666,4
a02_bjoern.wav,bjørn, nip-jern,0.625,4
a02_blaa.wav,blå, bøhra,0.8,3
a02_blad.wav,blad, klar,0.5,2
a02_bleie.wav,bleie, breie,0.2,3
a02_blokk.wav,blokk, blatt,0.6,4
a02_blomst.wav,blomst, bramst,0.3333333333333333,3
a02_blyant.wav,blyant, begjent,0.5714285714285714,2
a02_boerste.wav,børste, børstad,0.2857142857142857,4
a02_briller.wav,briller, nivil,1.2,3
a02_bro.wav,bro, roll,0.75,4
a02_broed.wav,brød, ja,2.0,3
a02_bror.wav,bror, bor,0.3333333333333333,3
a02_brun.wav,brun, frien,0.6,3
a02_bryter.wav,bryter, brundyr,0.5714285714285714,3
a02_buss.wav,buss, næsj,0.75,4
a02_by.wav,by, mye,0.6666666666666666,3
a02_bygge.wav,bygge, bente,0.6,4
a02_doer.wav,dør, der,0.3333333333333333,4
a02_drikke.wav,drikke, jacobsen,0.875,3
a02_drops.wav,drops, klat,1.25,5
a02_drue.wav,drue, så,2.0,2
a02_dykke.wav,dykke, det takk,0.75,4
a02_dyne.wav,dyne, dilla,0.8,3
a02_ekorn.wav,ekorn, bekkorn,0.2857142857142857,4
a02_enhjoerning.wav,enhjørning, inden,1.6,3
a02_erter.wav,erter, eid,1.3333333333333333,3
a02_fjorten.wav,fjorten, sjø,2.0,3
a02_flagg.wav,flagg, frent,0.8,4
a02_flakse.wav,flakse, saksa,0.6,2
a02_flaske.wav,flaske, svaspa,0.6666666666666666,3
a02_flette.wav,flette, hetty,0.6,3
a02_flue.wav,flue, frøya,0.8,3
a02_fly.wav,fly, fri,0.6666666666666666,3
a02_fort.wav,fort, part,0.5,4
a02_fortau.wav,fortau, fart der er,0.7272727272727273,3
a02_fortid.wav,fortid, farty,0.6,3
a02_frakk.wav,frakk, sak,1.0,4
a02_fregner.wav,fregner, klainer,0.5714285714285714,4
a02_froe.wav,frø, afrah,0.6,4
a02_frukt.wav,frukt, slukt,0.4,4
a02_fugl.wav,fugl, sjåve,1.0,1
a02_garn.wav,garn, der,1.0,4
a02_gartner.wav,gartner, gatned,0.3333333333333333,3
a02_glad.wav,glad, gra,0.6666666666666666,3
a02_glass.wav,glass, stæsj,0.8,3
a02_glitter.wav,glitter, nitter,0.3333333333333333,3
a02_gloer.wav,glør, løre,0.5,3
a02_glorie.wav,glorie, blodåret,0.625,4
a02_graa.wav,grå, grav,0.5,5
a02_grave.wav,grave, ravet,0.4,4
a02_gris.wav,gris, lise,0.75,4
a02_groenn.wav,grønn, nei,1.6666666666666667,3
a02_gul.wav,gul, gud er det ikke,0.8666666666666667,3
a02_gutt.wav,gutt, gud,0.6666666666666666,5
a02_hjerne.wav,hjerne, gjerne,0.16666666666666666,4
a02_hjerte.wav,hjerte, skjelp tatt,0.7272727272727273,2
a02_hjoerne.wav,hjørne, dørene,0.5,3
a02_hjort.wav,hjort, sjuk,1.0,5
a02_horn.wav,horn, wonen,0.6,2
a02_hund.wav,hund, høne,0.5,4
