File name,Word,Transcribed,CER (Character Error Rate),CER Score
a01_artist.wav,artist, Og tiste!,0.5555555555555556,4
a01_barn.wav,barn, Vaan?,0.6,3
a01_bart.wav,bart, Baks!,0.8,4
a01_bjoern.wav,bjørn, Mjann.,0.6666666666666666,3
a01_blaa.wav,blå, Blå!,0.5,4
a01_blad.wav,blad, Dette!,1.0,3
a01_bleie.wav,bleie," Du er her, jeg.",0.8666666666666667,3
a01_blokk.wav,blokk, Blakke!,0.5714285714285714,3
a01_blomst.wav,blomst, Blomps!,0.42857142857142855,2
a01_blyant.wav,blyant, Vi er.,1.0,3
a01_boerste.wav,børste, Leste!,0.6666666666666666,3
a01_briller.wav,briller, Det er enn!,0.9090909090909091,2
a01_bro.wav,bro, Lå!,1.0,3
a01_broed.wav,brød, Ja.,1.3333333333333333,2
a01_bror.wav,bror, Det er jo!,0.8,3
a01_brun.wav,brun, Det er jo.,0.9,2
a01_bryter.wav,bryter, Det er i stil.,0.8571428571428571,2
a01_buss.wav,buss, Diss!,0.6,5
a01_by.wav,by, Nei?,1.0,3
a01_bygge.wav,bygge, I djø.,1.0,2
a01_doer.wav,dør, Det er.,0.8571428571428571,2
a01_drikke.wav,drikke, Tø ikke!,0.5,2
a01_drops.wav,drops, Pups!,0.8,2
a01_drue.wav,drue," Køy, det?",0.8888888888888888,2
a01_dykke.wav,dykke, Vi kan.,0.8571428571428571,4
a01_dyne.wav,dyne, Dien.,0.8,3
a01_ekorn.wav,ekorn, Ikke!,0.8,5
a01_enhjoerning.wav,enhjørning, I ange og min.,0.7857142857142857,4
a01_erter.wav,erter, At det.,0.8571428571428571,3
a01_fjorten.wav,fjorten, Hva gjør du den?,0.75,3
a01_flagg.wav,flagg, Tak!,1.0,2
a01_flakse.wav,flakse, Fakt seg.,0.6666666666666666,3
a01_flaske.wav,flaske, Plasket!,0.375,4
a01_flette.wav,flette, Flet det?,0.5555555555555556,3
a01_flue.wav,flue, Plig!,0.8,4
a01_fly.wav,fly, Tlig!,0.8,2
a01_fort.wav,fort, FUT!,1.0,4
a01_fortau.wav,fortau, Føtter!,0.8571428571428571,2
a01_fortid.wav,fortid, Putt det.,0.7777777777777778,2
a01_frakk.wav,frakk, Faktig!,0.8571428571428571,2
a01_fregner.wav,fregner, Føi næ.,0.8571428571428571,2
a01_froe.wav,frø, Fee!,1.0,3
a01_frukt.wav,frukt, Pist!,1.0,1
a01_fugl.wav,fugl, Sitt!,1.0,2
a01_garn.wav,garn, Gå han.,0.8571428571428571,4
a01_gartner.wav,gartner, Kuffnet!,0.75,2
a01_glad.wav,glad, Gør jeg.,1.0,3
a01_glass.wav,glass, Gør jeg oss!,0.75,4
a01_glitter.wav,glitter, Litt den?,0.6666666666666666,2
a01_gloer.wav,glør, Kled!,0.8,2
a01_glorie.wav,glorie, Det er jo det.,0.8571428571428571,2
a01_graa.wav,grå, Cool.,1.0,1
a01_grave.wav,grave, Ja.,1.3333333333333333,2
a01_gris.wav,gris, Ok.,1.3333333333333333,3
a01_groenn.wav,grønn, Deg!,1.25,3
