file_name,CER,target_word,global_score,PER,transcribed_word,model_name
a03_gul.wav,1.0,gul,3,0.3333333333333333,,nb-whisper-base-verbatim
a03_hus.wav,1.0,hus,3,0.6666666666666666,,nb-whisper-base-verbatim
a07_gartner.wav,1.0,gartner,1,0.6666666666666666,,nb-whisper-base-verbatim
a07_internett.wav,1.0,internett,3,0.14285714285714285,,nb-whisper-base-verbatim
a07_kurv.wav,1.0,kurv,2,0.75,,nb-whisper-base-verbatim
a07_plystre.wav,1.0,plystre,1,1.0,,nb-whisper-base-verbatim
a11_klem.wav,1.0,klem,3,0.25,,nb-whisper-base-verbatim
a12_blaa.wav,1.0,blå,1,1.0,,nb-whisper-base-verbatim
a12_graa.wav,1.0,grå,2,0.6666666666666666,,nb-whisper-base-verbatim
a12_skitten.wav,1.0,skitten,1,1.0,,nb-whisper-base-verbatim
a12_soeppel.wav,1.0,søppel,2,0.6,,nb-whisper-base-verbatim
a13_fjorten.wav,1.0,fjorten,2,0.4,,nb-whisper-base-verbatim
a13_glitter.wav,1.0,glitter,1,1.0,,nb-whisper-base-verbatim
a13_horn.wav,1.0,horn,2,0.6666666666666666,,nb-whisper-base-verbatim
a13_lyn.wav,1.0,lyn,3,0.3333333333333333,,nb-whisper-base-verbatim
a13_munn.wav,1.0,munn,1,1.0,,nb-whisper-base-verbatim
a13_torne.wav,1.0,torne,1,1.0,,nb-whisper-base-verbatim
a13_vindu.wav,1.0,vindu,1,1.0,,nb-whisper-base-verbatim
a14_fugl.wav,1.0,fugl,4,0.0,,nb-whisper-base-verbatim
a14_skjerm.wav,1.0,skjerm,3,0.5,,nb-whisper-base-verbatim
a15_baer.wav,1.0,bær,3,0.3333333333333333,,nb-whisper-base-verbatim
a15_munn.wav,1.0,munn,3,0.6666666666666666,,nb-whisper-base-verbatim
a18_bryter.wav,1.0,bryter,4,0.16666666666666666,,nb-whisper-base-verbatim
a20_vindu.wav,1.0,vindu,3,0.4,,nb-whisper-base-verbatim
a21_briller.wav,1.0,briller,2,0.5,,nb-whisper-base-verbatim
a21_kurv.wav,1.0,kurv,3,0.25,,nb-whisper-base-verbatim
a21_munn.wav,1.0,munn,3,0.3333333333333333,,nb-whisper-base-verbatim
a25_mur.wav,1.0,mur,5,0.0,,nb-whisper-base-verbatim
a25_sky.wav,1.0,sky,3,1.0,,nb-whisper-base-verbatim
a26_oern.wav,1.0,ørn,4,0.5,,nb-whisper-base-verbatim
