id,global_score,target_word,PER,transcribed_word,CER,transcribed_word_striped,striped_CER,file_name,model_name
a01,3,bjørn,0.5,mjann,0.6,mjann,0.6,a01_bjoern.wav,tiny
a01,4,sykkel,0.2,sikker!,0.5,sikker,0.3333333333333333,a01_sykkel.wav,tiny
a01,3,prins,0.2,penge!,1.0,penge,0.8,a01_prins.wav,tiny
a01,2,skilpadde,0.5714285714285714,sien plet?,0.8888888888888888,sien plet,0.7777777777777778,a01_skilpadde.wav,tiny
a01,2,plystre,0.42857142857142855,piste!,0.5714285714285714,piste,0.42857142857142855,a01_plystre.wav,tiny
a01,3,bror,0.5,det er jo!,2.0,det er jo,2.0,a01_bror.wav,tiny
a01,3,plante,0.16666666666666666,plandre!,0.5,plandre,0.3333333333333333,a01_plante.wav,tiny
a01,3,trapp,0.25,kjep!,0.8,kjep,0.8,a01_trapp.wav,tiny
a01,3,sølv,0.3333333333333333,se!,0.75,se,0.75,a01_soelv.wav,tiny
a01,2,sport,0.75,spots,0.4,spots,0.4,a01_sport.wav,tiny
a01,3,søt,0.3333333333333333,shit!,1.0,shit,0.6666666666666666,a01_soet.wav,tiny
a01,3,koffert,0.2,kuffet!,0.42857142857142855,kuffet,0.2857142857142857,a01_koffert.wav,tiny
a01,3,skinke,0.2,sintet!,0.6666666666666666,sintet,0.5,a01_skinke.wav,tiny
a01,3,smør,0.5,sine!,1.0,sine,0.75,a01_smoer.wav,tiny
a01,3,søppel,0.0,sippe!,0.3333333333333333,sippe,0.3333333333333333,a01_soeppel.wav,tiny
a01,3,frø,0.3333333333333333,fee!,1.0,fee,0.6666666666666666,a01_froe.wav,tiny
a01,2,briller,0.3333333333333333,det er enn!,1.4285714285714286,det er enn,1.2857142857142858,a01_briller.wav,tiny
a01,2,turn,0.6666666666666666,kinn,0.75,kinn,0.75,a01_turn.wav,tiny
a01,3,svart,0.25,svet!,0.6,svet,0.4,a01_svart.wav,tiny
a01,3,terning,0.2,tannig,0.42857142857142855,tannig,0.42857142857142855,a01_terning.wav,tiny
a01,2,grave,0.4,ja,0.8,ja,0.8,a01_grave.wav,tiny
a01,4,pute,0.0,pytte!,0.75,pytte,0.5,a01_pute.wav,tiny
a01,2,troll,0.75,tå!,0.8,tå,0.8,a01_troll.wav,tiny
a01,3,dyne,0.25,dien,0.75,dien,0.75,a01_dyne.wav,tiny
a01,2,krabbe,0.8,det er jo,1.5,det er jo,1.5,a01_krabbe.wav,tiny
a01,4,artist,0.2,og tiste!,0.8333333333333334,og tiste,0.6666666666666666,a01_artist.wav,tiny
a01,4,lue,0.0,ja,1.0,ja,1.0,a01_lue.wav,tiny
a01,2,frakk,0.5,faktig!,1.0,faktig,0.8,a01_frakk.wav,tiny
a01,3,sju,1.0,si!,0.6666666666666666,si,0.6666666666666666,a01_sju.wav,tiny
a01,3,blyant,0.5,vi er,1.0,vi er,1.0,a01_blyant.wav,tiny
a01,4,skitten,0.25,sikten!,0.42857142857142855,sikten,0.2857142857142857,a01_skitten.wav,tiny
a01,3,start,0.25,statt,0.2,statt,0.2,a01_start.wav,tiny
a01,2,brød,0.6666666666666666,ja,1.0,ja,1.0,a01_broed.wav,tiny
a01,4,skive,0.0,sida!,0.8,sida,0.6,a01_skive.wav,tiny
a01,4,ugle,0.25,ikla,0.75,ikla,0.75,a01_ugle.wav,tiny
a01,2,kikkert,0.4,sikkes!,0.42857142857142855,sikkes,0.42857142857142855,a01_kikkert.wav,tiny
a01,4,lys,0.0,lise,0.6666666666666666,lise,0.6666666666666666,a01_lys.wav,tiny
a01,5,ski,0.0,sih!,1.0,sih,0.6666666666666666,a01_ski.wav,tiny
a01,3,skjørt,0.6666666666666666,helt!,1.0,helt,0.8333333333333334,a01_skjoert.wav,tiny
a01,2,kropp,0.5,køk?,0.8,køk,0.8,a01_kropp.wav,tiny
a01,3,blokk,0.5,blakke!,0.6,blakke,0.4,a01_blokk.wav,tiny
a01,3,bleie,0.25,"du er her, jeg",2.4,du er her jeg,2.2,a01_bleie.wav,tiny
a01,3,snø,0.3333333333333333,sniya!,1.3333333333333333,sniya,1.0,a01_snoe.wav,tiny
a01,3,karneval,0.14285714285714285,kallna!,0.625,kallna,0.625,a01_karneval.wav,tiny
a01,2,fugl,0.6666666666666666,sitt!,1.25,sitt,1.0,a01_fugl.wav,tiny
a01,2,dør,0.6666666666666666,det er,1.3333333333333333,det er,1.3333333333333333,a01_doer.wav,tiny
a01,2,skip,0.6666666666666666,sø jeg ikke,2.25,sø jeg ikke,2.25,a01_skip.wav,tiny
