speaker_id,score,input_string,PER,WER,translated_string,translated_CER,translated_WER,length_deviation_words,audio_name,audio_path,model_name
a01,[4 3 4 3 4 3 3 3 2 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5057471264367817,1.0,artist barn bætsj bjørn blå blad breie blokke blomst blyant,0.10526315789473684,0.3,0,a01_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium
a01,[3 2 3 2 3 2 2 5 3 2],børste briller bro brød bror brun bryter buss by bygge,0.5068493150684932,1.0,buste briller bru brød bror brød briter buss by ikke,0.18518518518518517,0.5,0,a01_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium
a02,[2 4 4 4 3 2 3 4 3 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5057471264367817,1.0,barn,0.9298245614035088,0.9,-9,a02_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium
a02,[4 3 4 3 3 3 3 4 3 4],børste briller bro brød bror brun bryter buss by bygge,0.5068493150684932,1.0,børste briller bro bror brun ruter børs bi bygge,0.18518518518518517,0.4,-1,a02_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium
a03,[3 3 4 2 2 2 2 5 1 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5057471264367817,1.0,artist bar bock,0.7543859649122807,0.9,-7,a03_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium
a03,[3 2 3 4 4 3 3 4 2 5],børste briller bro brød bror bryter buss by bygge dør,0.5068493150684932,1.0,bursdag briller bror bror brutter bush,0.4528301886792453,0.8,-4,a03_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium
a04,[3 4 3 4 5 3 2 3 3 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5057471264367817,1.0,barn bart bjørn blå blad braie brokk bromst briant,0.22807017543859648,0.5,-1,a04_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium
a04,[4 3 4 4 4 3 4 4 5 5],børste briller bro brød bror brun bryter buss by bygge,0.5068493150684932,1.0,børste briller bro brød bror bryn bryter buss by begge,0.037037037037037035,0.2,0,a04_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium
a05,[3 3 4 3 3 2 3 3 3 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5057471264367817,1.0,artist barn butch bjål brå brat breie brokk brømst briant,0.2807017543859649,0.8,0,a05_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium
a05,[4 5 4 3 3 4 3 5 4 3],børste briller bro brød bror brun bryter buss by bygge,0.5068493150684932,1.0,verksted briller bro brød brur grum brudder puss bi bikke,0.2777777777777778,0.7,0,a05_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium
a06,[3 2 5 2 3 3 5 4 2 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5057471264367817,1.0,artist artist barn brill blod reyer blomst blomst,0.42105263157894735,0.8,-2,a06_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium
a06,[4 3 5 3 3 3 2 5 5 4],børste briller bro brød bror brun bryter buss by bygge,0.5068493150684932,1.0,børste briller bror bror bror bror broder buss by,0.24074074074074073,0.5,-1,a06_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium
a07,[2 3 4 2 2 2 3 3 2 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5057471264367817,1.0,vann bæsj bron pla blad,0.7543859649122807,0.9,-5,a07_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium
a07,[2 2 2 1 2 2 2 5 4 2],børste briller bro brød bror brun bryter buss by bygge,0.5068493150684932,1.0,blod,0.9259259259259259,1.0,-9,a07_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium
a08,[4 4 4 3 2 2 3 3 3 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5057471264367817,1.0,artist barn bjørn brag brad breie brag blomst briller,0.3508771929824561,0.6,-1,a08_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium
a08,[3 4 5 5 4 4 2 5 5 4],børste briller bro brød bror brun bryter buss by bygge,0.5068493150684932,1.0,vest bruder bro brød bror rund brinke buss pi,0.3888888888888889,0.6,-1,a08_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium
a09,[3 3 5 2 2 3 3 5 3 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5057471264367817,1.0,barn,0.9298245614035088,0.9,-9,a09_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium
a09,[4 2 4 4 2 5 3 5 3 2],børste briller bro brød bror brun bryter buss by bygge,0.5068493150684932,1.0,børsta brilled bro brød prol brun britter buss pi pinga,0.2222222222222222,0.6,0,a09_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium
a10,[5 5 4 3 2 3 2 3 3 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5057471264367817,1.0,artist barn bart bjørn bro brad breie plokk bromst briant,0.14035087719298245,0.6,0,a10_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium
a10,[3 3 5 3 4 4 4 5 5 5],børste briller bro brød bror brun bryter buss by bygge,0.5068493150684932,1.0,børste syller bro bro bror brun bryter buss by bikke,0.14814814814814814,0.3,0,a10_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium
a11,[2 3 3 4 3 2 3 4 3 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5057471264367817,1.0,blød blæ bløm blomst blænt,0.631578947368421,0.9,-5,a11_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium
a11,[3 1 4 4 1 2 2 3 3 3],børste briller bro brød bror brun bryter buss by bygge,0.5068493150684932,1.0,beste,0.9259259259259259,1.0,-9,a11_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium
a12,[2 2 3 2 1 1 2 2 3 1],artist barn bart bjørn blå blad bleie blomst blyant børste,0.5057471264367817,1.0,bjørn,0.9137931034482759,0.9,-9,a12_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium
a12,[2 3 3 1 3 4 2 5 3 4],briller bro brød bror brun bryter bygge dør drikke drops,0.5068493150684932,1.0,etyler trø trøvor drun friter pike dør drikke drops,0.32142857142857145,0.7,-1,a12_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium
a13,[2 2 3 3 4 3 4 4 4 4],artist bart bjørn blå blad bleie blokk blomst blyant børste,0.5057471264367817,1.0,blad bleie blokk blomst blyant børste,0.3728813559322034,0.4,-4,a13_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium
a13,[2 3 3 3 3 2 5 3 3 3],briller bro brød bror brun bryter buss by bygge dør,0.5068493150684932,1.0,blod blod blod kytter buss bi pudde,0.5686274509803921,0.9,-3,a13_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium
a14,[3 5 3 5 3 5 5 5 3 5],artist bær bar barn bart bjørn blå blad bleie blod,0.5057471264367817,1.0,artist bær bær barn bart bjørn blå blad breie blod,0.04,0.2,0,a14_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium
